Tiempo_Audio,Tiempo_CSV,Azimut_Estimado,Elevacion_Estimada,Azimut_CSV,Elevacion_CSV,Dif_Azimut,Dif_Elevacion,Distancia_Metros
563.9,7m 31.4s,-28,52,-27.55427931618658,58.71324921867635,0.4457206838134198,6.713249218676353,40.79461779776409
564.0,7m 31.5s,-28,52,-27.563685446042058,58.71746975064589,0.43631455395794205,6.71746975064589,40.793133653359334
564.1,7m 31.6s,98,28,-27.563921517733206,58.74135997643115,125.5639215177332,30.74135997643115,40.78473889386415
564.2,7m 31.7s,-28,52,-27.569935863353322,58.7484311484579,0.43006413664667775,6.748431148457897,40.78225618509026
564.3,7m 31.8s,-28,52,-27.564516135100007,58.750616023889904,0.435483864899993,6.750616023889904,40.78148925579629
564.4,7m 31.9s,100,28,-27.547483796509653,58.77647567017046,127.54748379650965,30.776475670170463,40.77241876349705
564.5,7m 32.0s,-28,52,-27.54915717782356,58.78508536126066,0.45084282217644045,6.785085361260663,40.769401578468724
564.6,7m 32.1s,-28,52,-27.540849719157137,58.79282603748441,0.4591502808428629,6.79282603748441,40.76669009848178
564.7,7m 32.2s,-32,52,-27.534927497138,58.803347460044414,4.465072502862,6.803347460044414,40.76300632246776
564.8,7m 32.3s,-26,54,-27.512156298800193,58.82013841683058,1.5121562988001926,4.820138416830581,40.757131673158426
564.9,7m 32.4s,-28,52,-27.524605391684787,58.83504827439492,0.47539460831521296,6.8350482743949215,40.751919516214755
565.0,7m 32.5s,-26,54,-27.503426668913022,58.846391237131996,1.503426668913022,4.846391237131996,40.74795700764734
565.1,7m 32.6s,-28,52,-27.499103532814786,58.85207954877936,0.5008964671852141,6.852079548779358,40.745970765227035
565.2,7m 32.7s,-28,52,-27.494446441735874,58.85553919719635,0.5055535582641255,6.85553919719635,40.74476301765041
565.3,7m 32.8s,-26,54,-27.468468268750712,58.859365848904474,1.468468268750712,4.859365848904474,40.743427407298405
565.4,7m 32.9s,-26,54,-27.474123363129593,58.853852975329296,1.4741233631295927,4.853852975329296,40.74535164255691
565.5,7m 33.0s,-24,54,-27.468461121631748,58.85117206433116,3.468461121631748,4.851172064331159,40.746287600382644
565.6,7m 33.1s,-28,52,-27.445180244785462,58.868343825729156,0.5548197552145382,6.868343825729156,40.74029489485296
565.7,7m 33.2s,100,28,-27.43918804909356,58.864956728385444,127.43918804909356,30.864956728385444,40.74147651536735
565.8,7m 33.3s,96,32,-27.407631317949665,58.86830404441383,123.40763131794967,26.868304044413833,40.74030877171197
565.9,7m 33.4s,-28,52,-27.39351462589329,58.87441616437637,0.6064853741067111,6.87441616437637,40.73817703082371
566.0,7m 33.5s,4,30,-27.369422274883902,58.88354449828006,31.369422274883902,28.88354449828006,40.73499459513738
566.1,7m 33.6s,-28,52,-27.34998049661965,58.8885376649053,0.6500195033803493,6.8885376649053,40.73325446177347
566.2,7m 33.7s,-26,54,-27.321264709465396,58.89129690165787,1.321264709465396,4.891296901657867,40.73229305606741
566.3,7m 33.8s,-150,18,-27.271615054428906,58.87938419621982,122.7283849455711,40.87938419621982,40.73644482256761
566.4,7m 33.9s,-28,54,-27.247898358983093,58.87858835380342,0.7521016410169068,4.878588353803423,40.736722279168426
566.5,7m 34.0s,-28,52,-27.239149239577245,58.87306445312767,0.7608507604227555,6.873064453127668,40.73864841173435
566.6,7m 34.1s,90,6,-27.233344076741957,58.879505431277096,117.23334407674196,52.879505431277096,40.73640255709746
566.7,7m 34.2s,-152,18,-27.1870398965207,58.882759875745286,124.8129601034793,40.882759875745286,40.73526808006007
566.8,7m 34.3s,-28,52,-27.010841450687963,58.87494473217472,0.9891585493120374,6.874944732174718,40.7379927130379
566.9,7m 34.4s,96,28,-26.74620348654986,58.87267281137358,122.74620348654986,30.872672811373583,40.73878499484595
567.0,7m 34.5s,-28,56,-26.393846037885027,58.87188468340458,1.6061539621149734,2.8718846834045806,40.73905985909607
567.1,7m 34.6s,-26,54,-25.797617108258294,58.85710459641974,0.20238289174170632,4.857104596419738,40.74421661622013
567.2,7m 34.7s,-26,54,-25.161905976035285,58.84127615637841,0.8380940239647146,4.841276156378413,40.74974359788583
567.3,7m 34.8s,-120,4,-24.49910319612917,58.81185455567142,95.50089680387083,54.81185455567142,40.760029297177596
567.4,7m 34.9s,-28,54,-23.652165345738865,58.79188900417106,4.347834654261135,4.791889004171061,40.76701827292916
567.5,7m 35.0s,-24,54,-22.77698685792916,58.75662656024866,1.2230131420708403,4.756626560248662,40.77937990770172
567.6,7m 35.1s,96,28,-21.64333047369564,58.66861162810805,117.64333047369564,30.668611628108053,40.810334719833605
